Date,Symbol,Order,Shares
2010-02-02 00:00:00,ML4T-399,BUY,100
2010-02-08 00:00:00,ML4T-399,SELL,100
2010-02-09 00:00:00,ML4T-399,SELL,100
2010-02-16 00:00:00,ML4T-399,BUY,100
2010-02-17 00:00:00,ML4T-399,SELL,100
2010-02-23 00:00:00,ML4T-399,BUY,100
2010-02-24 00:00:00,ML4T-399,BUY,100
2010-03-02 00:00:00,ML4T-399,SELL,100
2010-03-03 00:00:00,ML4T-399,SELL,100
2010-03-09 00:00:00,ML4T-399,BUY,100
2010-03-10 00:00:00,ML4T-399,SELL,100
2010-03-16 00:00:00,ML4T-399,BUY,100
2010-03-17 00:00:00,ML4T-399,BUY,100
2010-03-23 00:00:00,ML4T-399,SELL,100
2010-03-24 00:00:00,ML4T-399,SELL,100
2010-03-30 00:00:00,ML4T-399,BUY,100
2010-03-31 00:00:00,ML4T-399,SELL,100
2010-04-07 00:00:00,ML4T-399,BUY,100
2010-04-08 00:00:00,ML4T-399,BUY,100
2010-04-14 00:00:00,ML4T-399,SELL,100
2010-04-15 00:00:00,ML4T-399,SELL,100
2010-04-21 00:00:00,ML4T-399,BUY,100
2010-04-22 00:00:00,ML4T-399,SELL,100
2010-04-28 00:00:00,ML4T-399,BUY,100
2010-04-29 00:00:00,ML4T-399,BUY,100
2010-05-05 00:00:00,ML4T-399,SELL,100
2010-05-06 00:00:00,ML4T-399,SELL,100
2010-05-12 00:00:00,ML4T-399,BUY,100
2010-05-13 00:00:00,ML4T-399,SELL,100
2010-05-19 00:00:00,ML4T-399,BUY,100
2010-05-20 00:00:00,ML4T-399,BUY,100
2010-05-26 00:00:00,ML4T-399,SELL,100
2010-05-27 00:00:00,ML4T-399,SELL,100
2010-06-03 00:00:00,ML4T-399,BUY,100
2010-06-04 00:00:00,ML4T-399,SELL,100
2010-06-10 00:00:00,ML4T-399,BUY,100
2010-06-11 00:00:00,ML4T-399,BUY,100
2010-06-17 00:00:00,ML4T-399,SELL,100
2010-06-18 00:00:00,ML4T-399,SELL,100
2010-06-24 00:00:00,ML4T-399,BUY,100
2010-06-25 00:00:00,ML4T-399,SELL,100
2010-07-01 00:00:00,ML4T-399,BUY,100
2010-07-02 00:00:00,ML4T-399,BUY,100
2010-07-09 00:00:00,ML4T-399,SELL,100
2010-07-12 00:00:00,ML4T-399,SELL,100
2010-07-16 00:00:00,ML4T-399,BUY,100
2010-07-19 00:00:00,ML4T-399,SELL,100
2010-07-23 00:00:00,ML4T-399,BUY,100
2010-07-26 00:00:00,ML4T-399,BUY,100
2010-07-30 00:00:00,ML4T-399,SELL,100
2010-08-02 00:00:00,ML4T-399,SELL,100
2010-08-06 00:00:00,ML4T-399,BUY,100
2010-08-09 00:00:00,ML4T-399,SELL,100
2010-08-13 00:00:00,ML4T-399,BUY,100
2010-08-16 00:00:00,ML4T-399,BUY,100
2010-08-20 00:00:00,ML4T-399,SELL,100
2010-08-23 00:00:00,ML4T-399,SELL,100
2010-08-27 00:00:00,ML4T-399,BUY,100
2010-08-30 00:00:00,ML4T-399,SELL,100
2010-09-03 00:00:00,ML4T-399,BUY,100
2010-09-07 00:00:00,ML4T-399,BUY,100
2010-09-13 00:00:00,ML4T-399,SELL,100
2010-09-14 00:00:00,ML4T-399,SELL,100
2010-09-20 00:00:00,ML4T-399,BUY,100
2010-09-21 00:00:00,ML4T-399,SELL,100
2010-09-27 00:00:00,ML4T-399,BUY,100
2010-09-28 00:00:00,ML4T-399,BUY,100
2010-10-04 00:00:00,ML4T-399,SELL,100
2010-10-06 00:00:00,ML4T-399,SELL,100
2010-10-12 00:00:00,ML4T-399,BUY,100
2010-10-13 00:00:00,ML4T-399,SELL,100
2010-10-19 00:00:00,ML4T-399,BUY,100
2010-10-20 00:00:00,ML4T-399,BUY,100
2010-10-26 00:00:00,ML4T-399,SELL,100
2010-10-27 00:00:00,ML4T-399,SELL,100
2010-11-02 00:00:00,ML4T-399,BUY,100
2010-11-03 00:00:00,ML4T-399,SELL,100
2010-11-09 00:00:00,ML4T-399,BUY,100
2010-11-10 00:00:00,ML4T-399,BUY,100
2010-11-16 00:00:00,ML4T-399,SELL,100
2010-11-17 00:00:00,ML4T-399,SELL,100
2010-11-23 00:00:00,ML4T-399,BUY,100
2010-11-24 00:00:00,ML4T-399,SELL,100
2010-12-01 00:00:00,ML4T-399,BUY,100
2010-12-02 00:00:00,ML4T-399,BUY,100
